video_id,title,publish_date,duration_sec,views,subscribers,revenue,impressions,ctr,week_start
GTFAWL2ItIY,Your Design Partner | Building Lasting Relationships,"Oct 22, 2024",22,0,0,0.0,9,0.0,2026-02-06
Iwg7-LcV-58,FAQ | The Power of Feedback in Design: A Designer’s Guide to Growth and Success,"May 1, 2023",1044,0,0,0.0,70,0.0,2026-02-06
KQS7IPdI0to,The Design Project | Your Design Partner,"Apr 25, 2025",59,0,0,0.0,180,0.0,2026-02-06
M86pF1MSraM,"#11 - Peter Pham - Self Learning, Importance of personal branding & Mentoring Jr. UX designers","Oct 14, 2022",2227,0,0,0.0,55,0.0,2026-02-06
NYTA5ODFOrQ,#19 - Olamide Alowooja - Designing at One of the Biggest Crypto Companies in Africa,"Dec 16, 2022",2143,0,0,0.0,52,0.0,2026-02-06
O66tOPzfBTA,"#09 - Federico Marson - Beginnings of TDP, Keys for a Great CV & How Mentorship Helped Him Succeed","Sep 23, 2022",2337,0,0,0.0,41,0.0,2026-02-06
Q44pk5C0mz8,#28 - Dinorath Espinoza - UX Design in a Rapidly Changing Industry,"Mar 6, 2023",2790,0,0,0.0,68,0.0,2026-02-06
T7lAxYtHoac,"#03 - Ana Delcid - Design, Self Learning, and Mental Health","Aug 12, 2022",2965,0,0,0.0,23,0.0,2026-02-06
T_zkeSeDCgU,"#13 - Martín Refi - Biology, Leading With Expectations & His Beginnings in Design","Nov 4, 2022",2307,0,0,0.0,44,0.0,2026-02-06
X7Lr5Ph_gS8,FAQ│The Art of Design Workshops: Strategies for Effective Facilitation,"Jun 12, 2023",832,0,0,0.0,91,0.0,2026-02-06
X94leWrGmHM,Zhenya Globazh | Inspiring Growth and Empowering Others: A Design Journey,"Jun 21, 2023",2564,0,0,0.0,101,0.0,2026-02-06
XkjpWWz1wQA,Unlimited Design Services | No Need to Hire,"Oct 22, 2024",23,0,0,0.0,6,0.0,2026-02-06
XpfhUD3deLM,#20 - Demarc Ramanand - Transitioning from Computer Science to UX Design: Insights from an Expert,"Jan 6, 2023",2022,0,0,0.0,59,0.0,2026-02-06
clMRPL_9xCU,Your Go-To Design Experts | Building Meaningful Partnerships for Success,"Oct 22, 2024",24,0,0,0.0,7,0.0,2026-02-06
d8dghK7Qyww,Your Go-To Design Experts | Building Meaningful Partnerships for Success,"Oct 22, 2024",24,0,0,0.0,4,0.0,2026-02-06
fYNi438c6QE,Bridging Design and Business: A Mutual Path to Success,"Jul 10, 2023",592,0,0,0.0,101,0.0,2026-02-06
gG5O_dgZ9ec,#15 - Lili Bustos Linares - Moving to the US with a Dream: Being the Latina that Change the World,"Nov 18, 2022",2653,0,0,0.0,47,0.0,2026-02-06
hzrGBudT_Qk,"#25 Julieta Solla - Exploring Dynamic World of Design: Communication, Negotiation & Crypto Adventure","Feb 13, 2023",3879,0,0,0.0,62,0.0,2026-02-06
kXhJHtCUFYw,From Design Tools to User Testing: Humility in Action,"Jun 5, 2023",2805,0,0,0.0,84,0.0,2026-02-06
l03hpy0B6ws,Unlimited Design Services | No Need to Hire,"Oct 22, 2024",22,0,0,0.0,21,0.0,2026-02-06
o7FhFXKmdEY,The Power of Storytelling: Connecting with Your Audience,"Jun 27, 2023",690,0,0,0.0,92,0.0,2026-02-06
qjb045Q_I2s,#22 - Martha Magsombol - Connecting the Dots: from Animation to Product Design Processes,"Jan 20, 2023",2022,0,0,0.0,60,0.0,2026-02-06
sJSq4rK1bDk,Season Finale: Design Journeys and Future Visions,"Aug 10, 2023",480,0,0,0.0,117,0.0,2026-02-06
tS-M-rFGAyA,The Design Project | Your Design Partner,"Oct 22, 2024",70,0,0,0.0,140,0.0,2026-02-06
u9BTHLsQF8w,Your Go-To Design Experts | Building Meaningful Partnerships for Success,"Oct 22, 2024",24,0,0,0.0,175,0.0,2026-02-06
vZzptTctLpQ,"#07 - Franco Falaschi - Living in a Schoolbus, Tolerate Failure, and the Benefits of Work Culture","Sep 9, 2022",4899,0,0,0.0,50,0.0,2026-02-06
xY9eQksUek0,#27 - Kultar Ruprai - The Art of UX mentoring: The Creative Journey of a UX Designer,"Feb 27, 2023",2496,0,0,0.0,65,0.0,2026-02-06
yUDzDyuVFmA,Need a UI/UX redesign?,"Oct 22, 2024",24,0,0,0.0,8,0.0,2026-02-06
yjiO14B3BnE,PIXELATED PERFECT | Welcome to the podcast space for all designers,"Mar 28, 2023",75,0,0,0.0,67,0.0,2026-02-06
ypEO_XoNAE8,#14 - Micaela Conte - Jumping from Digital Marketing to Product Design,"Nov 11, 2022",2684,0,0,0.0,44,0.0,2026-02-06
zdp0k9b-Qd4,"#12 - Timothy Arrington - Design, Music, and How They Can Live Together","Oct 21, 2022",2264,0,0,0.0,42,0.0,2026-02-06
